INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
4095,Int J Disabil Hum De,1565012X,0,0,0.3,0.213,0.231,0
4096,International Journal Of Distributed Sensor Networks,15501329,0.923,0.727,0.203,0.067,0.447,0.722
4097,International Journal On Document Analysis And Recognition,14332833,0.857,0.8,0.405,1.03,1.213,0.909
4098,International Journal Of Earth Sciences,14373254,2.084,2.261,2.342,1.98,2.445,1.97
4099,International Journal Of Eating Disorders,02763478,3.033,2.877,2.947,2.278,2.797,2.392
4100,International Journal Of Electrical Engineering Education,00207209,0.118,0.041,0.119,0.14,0.106,0.118
4101,International Journal Of Electrical Power & Energy Systems,01420615,0,3.432,2.247,2.073,1.613,0.714
4102,International Journal of Electrochemical Science,14523981,1.956,0,3.729,2.808,2.175,0
4103,International Journal Of Electronic Commerce,10864415,2.15,1.425,1.55,0.85,1.6,1.366
4104,International Journal Of Electronics,00207217,0.751,0.509,0.44,0.252,0.43,0.567
4105,International Journal of Endocrinology,16878337,1.515,2.518,1.867,0.727,0,0
4106,International Journal Of Energy Research,0363907X,2.737,1.987,2.122,1.86,1.928,1.016
4107,International Journal Of Engineering Education,0949149X,0.36,0.29,0.418,0,0,0.552
4108,International Journal Of Engineering Science,00207225,2.291,1.691,1.21,1.194,1.36,1.366
4109,International Journal of Engine Research,14680874,1.4,0.52,0.969,0.947,0.903,0
4110,International Journal of Environmental Research and Public Health,16604601,1.993,1.998,0,0,0,0
4111,International Journal Of Environmental Analytical Chemistry,03067319,1.321,1.24,1.162,1.169,1.703,1.114
4112,International Journal Of Environmental Health Research,09603123,1.513,1.203,0.864,1.09,1.066,0.965
4113,International Journal Of Environment And Pollution,09574352,0.303,0.257,0.361,0.626,0.624,0.568
4114,International Journal of Environmental Research,17356865,0,1.818,1.462,1.626,0.781,0.271
4115,International Journal of Environmental Science and Technology,17351472,1.794,1.844,3.051,3.157,1.417,0
4116,International Journal Of Epidemiology,03005771,9.197,6.982,6.414,5.759,5.262,5.838
4117,International Journal of Exergy,17428297,0.847,0.921,0.894,1.088,0.896,0.648
4118,International Journal Of Experimental Pathology,09599673,2.052,2.04,2.566,2.127,1.895,2.202
4119,International Journal Of Fatigue,01421123,1.694,1.976,1.546,1.799,1.602,1.556
4120,Int J Fertil Steril,2008076X,0,0.471,0.439,0.391,0.219,0
4121,International Journal Of Flexible Manufacturing Systems,09206299,0,0,0,0,0.903,1.044
4122,International Journal of Food Engineering,21945764,0.349,0.463,0,0,0,0
4123,International Journal Of Food Microbiology,01681605,3.155,3.425,3.327,3.143,3.011,2.753
4124,International Journal Of Food Properties,10942912,0.906,0.877,0.668,0.947,0.82,1.02
4125,International Journal Of Food Sciences And Nutrition,09637486,1.202,1.257,1.151,0.778,1.313,0.91
4126,International Journal Of Food Science And Technology,09505423,1.354,1.24,1.259,1.223,1.172,1.065
4127,International Journal Of Foundations Of Computer Science,01290541,0.326,0.42,0.379,0.459,0.512,0.554
4128,International Journal Of Fracture,03769429,1.348,1.25,1.485,1.043,0.804,1.147
4129,International Journal of Fuzzy Systems,15622479,1.031,1.506,1.157,1.362,1.09,0
4130,International Journal Of Game Theory,00207276,0.432,0.584,0.3,0.593,0.527,0.462
4131,International Journal Of General Systems,03081079,0.786,0.733,0.667,0.641,0.611,0.826
4132,International Journal of Genomics,2314436X,0,0,0,0,0,0
4133,International Journal Of Geographical Information Science,13658816,1.479,1.613,1.472,1.489,1.533,1.596
4134,International Journal Of Geometric Methods In Modern Physics,02198878,0.617,0.951,0.856,0.757,1.612,1.464
4135,International Journal of Geomechanics,15323641,1.197,0,0,0,0,0
4136,International Journal Of Geriatric Psychiatry,08856230,3.086,2.977,2.419,2.029,1.981,2.128
4137,International Journal Of Gerontology,18739598,0.473,0.235,0.184,0.375,0.556,0.458
4138,International Journal of Global Warming,17582083,0.765,0.588,0.4,0,0,0
4139,International Journal Of Green Energy,15435075,1.469,2.069,1.188,0.733,0.564,0.371
4140,International Journal of Greenhouse Gas Control,17505836,3.821,3.944,5.111,4.074,3.644,1.646
4141,International Journal Of Gynecological Cancer,1048891X,1.949,1.941,1.646,1.558,2.179,1.932
4142,International Journal Of Gynecology & Obstetrics,00207292,1.563,1.836,2.045,1.704,1.408,1.228
4143,International Journal Of Gynecological Pathology,02771691,1.631,1.413,1.453,2.076,2.074,1.766
4144,International Journal Of Health Services,00207314,0.988,1.241,1.205,0.869,0.977,1.169
4145,International Journal Of Heat And Fluid Flow,0142727X,1.777,1.581,1.927,1.802,1.498,1.335
4146,International Journal Of Heat And Mass Transfer,00179310,2.522,2.315,2.407,1.898,1.947,1.894
4147,International Journal Of Heavy Vehicle Systems,1744232X,0.239,0.302,0.2,0.213,0.222,0.209
4148,International Journal Of Hematology,09255710,1.679,1.681,1.268,1.324,1.168,1.283
4149,International Journal Of High Performance Computing Applications,10943420,1.625,1.295,0.643,1.171,1.274,1.824
4150,International Journal Of Human-Computer Interaction,10447318,0.723,1.131,0.949,0.681,0.587,0.321
4151,International Journal Of Human-Computer Studies,10715819,1.165,1.415,1.171,1.6,2.38,1.769
4152,International Journal Of Human Genetics,09723757,0.155,0.187,0.306,0.238,0,0
4153,International Journal Of Humanoid Robotics,02198436,0.408,0.368,0.373,0.879,1.23,0.542
4154,International Journal Of Hydrogen Energy,03603199,2.93,3.548,4.054,4.053,3.945,3.452
4155,International Journal Of Hygiene And Environmental Health,14384639,3.276,3.045,3.809,2.886,2.64,2.158
4156,International Journal Of Hyperthermia,02656736,2.769,2.591,1.923,2.929,2.412,2.339
4157,International Journal Of Imaging Systems And Technology,08999457,0.768,0.639,0.779,0.684,0.653,0.415
4158,International Journal Of Immunogenetics,17443121,1.338,1.355,1.29,1.62,1.522,1.16
4159,International Journal Of Immunopathology And Pharmacology,03946320,2.507,0,2.991,2.685,3.061,2.793
4160,International Journal Of Impact Engineering,0734743X,2.01,1.681,1.701,1.516,1.301,1.398
4161,International Journal Of Impotence Research,09559930,1.369,1.511,1.712,2.415,2.727,2.276
4162,International Journal Of Industrial Engineering-Theory Applications And Practice,1943670X,0.165,0.284,0.154,0.203,0,0
4163,International Journal Of Industrial Ergonomics,01698141,1.214,1.208,1.26,1.322,0.956,0.76
4164,International Journal of Information Security,16155262,0.941,0.48,0.421,1.094,1.681,0
4165,International Journal Of Information Technology & Decision Making,02196220,1.89,0,0,3.139,1.312,0.953
4166,International Journal Of Infectious Diseases,12019712,2.33,2.357,1.938,2.529,2.167,2.21
4167,International Journal Of Infrared And Millimeter Waves,01959271,0,0,0,0.672,0.576,0.692
4168,International Journal Of Innovative Computing Information And Control,13494198,0,0,0,1.664,2.932,2.791
4169,International Journal of Integrated Care,15684156,1.261,1.299,0,0,0,0
4170,International Journal Of Intelligent Systems,08848173,1.411,1.416,1.653,1.314,1.194,0.86
4171,International Journal Of Laboratory Hematology,17515521,1.87,1.293,1.176,1.368,1.304,1
4172,International Journal Of Language & Communication Disorders,13682822,1.392,1.441,1.946,0,0,0
4173,International Journal Of Legal Medicine,09379827,2.597,2.686,2.587,2.939,2.793,2.574
4174,International Journal Of Life Cycle Assessment,09483349,3.089,2.773,2.362,3.148,2.636,1.828
4175,International Journal of Lower Extremity Wounds,15347346,1.194,1.25,1.2,0,0,0
4176,International Journal Of Machine Tools & Manufacture,08906955,2.743,2.262,2.169,1.919,1.956,1.576
4177,International Journal of Maritime Engineering,14798751,0,0.225,0.059,0,0,0
4178,International Journal Of Mass Spectrometry,13873806,2.227,2.142,2.549,2.009,2.117,2.445
4179,International Journal of Material Forming,19606206,1.418,0.509,0,0,0,0
4180,International Journal Of Materials & Product Technology,02681900,0.282,0.324,0.315,0.258,0.384,0.157
4181,International Journal Of Materials Research,18625282,0.675,0.691,0.83,0.86,0.862,0.819
4182,International Journal Of Mathematics,0129167X,0.552,0.559,0.397,0.563,0.608,0.529
4183,International Journal of Mechanics and Materials in Design,15691713,0.732,0.517,0,0,0,0
4184,International Journal Of Mechanical Sciences,00207403,2.061,1.613,1.231,1.266,1.288,1.077
4185,International Journal Of Medical Informatics,13865056,2.716,2.061,2.414,2.244,3.126,2.754
4186,International Journal Of Medical Microbiology,14384221,3.42,4.537,4.173,2.399,2.802,3.486
4187,International Journal Of Medicinal Mushrooms,15219437,1.123,0.838,0.895,0.639,0.661,0.576
4188,International Journal Of Medical Robotics And Computer Assisted Surgery,14785951,1.532,1.488,1.588,1.257,1.376,1.043
4189,International Journal of Medical Sciences,14491907,1.552,2.065,2.244,0,0,0
4190,International Journal of Mental Health and Addiction,15571874,0.953,0.863,0,0,0,0
4191,International Journal of Mental Health Nursing,14458330,2.009,1.287,1.071,1.427,0,0
4192,International Journal of Metalcasting,19395981,0.366,0.348,0.42,0.286,0.478,0
4193,International Journal Of Methods In Psychiatric Research,10498931,3.421,1.764,2.462,2.344,3.03,1.979
4194,International Journal of Micro Air Vehicles,17568293,0.471,0.562,0,0,0,0
4195,International Journal of Microwave and Wireless Technologies,17590787,0.456,0.573,0,0,0,0
4196,International Journal of Minerals Metallurgy and Materials,16744799,0.573,0.483,0.691,0.322,,0
4197,International Journal of Mining Reclamation and Environment,17480930,0.531,0.392,0.222,0,0,0
4198,International Journal Of Mineral Processing,03017516,1.461,1.378,1.304,1.082,1.196,1.017
4199,International Journal Of Modern Physics A,0217751X,1.086,1.127,1.053,1,0.941,0.982
4200,International Journal Of Modern Physics B,02179792,0.455,0.358,0.324,0.402,0.408,0.558
4201,International Journal Of Modern Physics C,01291831,1.125,0.615,0.57,0.706,1.022,0.728
4202,International Journal Of Modern Physics D,02182718,1.42,1.03,1.183,1.109,1.046,1.968
4203,International Journal Of Modern Physics E-Nuclear Physics,02183013,0.842,0.625,0.597,0.695,0.643,0.492
4204,International Journal Of Molecular Medicine,11073756,1.88,1.957,1.573,1.814,1.98,1.88
4205,International Journal Of Molecular Sciences,14220067,2.339,2.464,0,2.279,1.387,0.978
4206,International Journal Of Morphology,07179502,0.2,0.213,0.244,0.363,0,0
4207,International Journal Of Multiphase Flow,03019322,1.943,1.715,2.23,1.772,1.514,1.497
4208,International Journal For Multiscale Computational Engineering,15431649,0.963,0.784,0.647,0.768,0.734,0.765
4209,International Journal of Nanomedicine,11782013,4.195,3.463,3.13,0,0,0
4210,International Journal of Nanotechnology,14757435,1.144,1.087,1.013,1.329,1.234,1.184
4211,International Journal of Naval Architecture and Ocean Engineering,20926782,0.216,0.356,0.231,0,0,0
4212,International Journal of Network Management,10557148,0.517,0.51,0.222,0.323,0,0
4213,International Journal of Neural Systems,01290657,6.056,5.054,4.284,4.237,2.988,0.901
4214,International Journal Of Neuropsychopharmacology,14611457,5.264,5.641,4.578,4.699,4.874,4.378
4215,International Journal Of Neuroscience,00207454,1.528,1.216,0.967,0.818,0.855,0.884
4216,International Journal Of Non-Linear Mechanics,00207462,1.463,1.345,1.209,1.388,1.461,1.296
4217,International Journal Of Nonlinear Sciences And Numerical Simulation,15651339,0.453,0.622,1.484,3.1,5.276,8.479
4218,International Journal of Number Theory,17930421,0.392,0.346,0.342,0.395,0.318,0.473
4219,International Journal For Numerical And Analytical Methods In Geomechanics,03639061,1.561,1.055,0.936,1.167,1.301,1.135
4220,International Journal of Numerical Analysis and Modeling,17055105,0.673,0.815,0.624,0.67,0.822,1.212
4221,International Journal for Numerical Methods in Biomedical Engineering,20407939,1.542,1.31,1.409,,0,0
4222,International Journal For Numerical Methods In Engineering,00295981,1.961,2.056,2.009,1.925,2.025,2.229
4223,International Journal For Numerical Methods In Fluids,02712091,1.329,1.352,1.176,1.058,0.936,0.916
4224,International Journal Of Numerical Methods For Heat & Fluid Flow,09615539,0.919,1.093,0.752,0.527,0.79,0.685
4225,International Journal Of Numerical Modelling-Electronic Networks Devices And Fields,08943370,0.629,0.537,0.6,0.354,0.262,0.509
4226,International Journal of Nursing Knowledge,20473087,0.286,,0,0,0,0
4227,International Journal of Nursing Practice,13227114,0.543,0.881,0.716,0.794,0,0
4228,International Journal Of Nursing Studies,00207489,2.248,2.075,2.178,2.103,1.91,2.31
4229,International Journal of Nursing Terminologies and Classifications,15415147,0.895,0.361,0,0,0,0
4230,International Journal Of Obesity,03070565,5.386,5.221,4.691,5.125,4.343,3.64
4231,International Journal Of Obstetric Anesthesia,0959289X,1.832,1.799,1.395,1.793,1.847,1.757
4232,International Journal Of Occupational And Environmental Health,10773525,1.099,1.176,1.035,1,1.12,1.354
4233,International Journal of Occupational Medicine and Environmental Health,12321087,1.094,1.305,1.227,1.057,0,0
4234,International Journal Of Odonatology,13887890,0.5,0.426,0.614,0.791,0,0
4235,International Journal Of Offshore And Polar Engineering,10535381,0.303,0.489,0.333,0.529,0,0.459
4236,International Journal of Oil Gas and Coal Technology,17533309,0.429,0.209,0.225,0,0,0
4237,International Journal Of Oncology,10196439,2.773,2.657,2.399,2.571,2.447,2.234
4238,International Journal of Ophthalmology,22223959,0.5,0.119,0.04,0,0,0
4239,International Journal of Optomechatronics,15599612,0.574,0.429,0.556,0.682,0.354,0
4240,International Journal Of Oral & Maxillofacial Implants,08822786,1.491,1.908,1.776,1.681,1.978,1.972
4241,International Journal Of Oral And Maxillofacial Surgery,09015027,1.359,1.521,1.506,1.302,1.444,1.487
4242,International Journal of Oral Science,16742818,2.029,2.719,1.411,0.815,0,0
4243,International Journal of Osteopathic Medicine,17460689,0.727,0.579,0.195,0.279,0.206,0
4244,International Journal Of Paediatric Dentistry,09607439,1.54,0.924,1.008,1.289,1.141,1.072
4245,International Journal Of Parallel Programming,08857458,0.5,0.404,0.569,0.554,0.816,0.875
4246,International Journal for Parasitology-Drugs and Drug Resistance,22113207,2.514,0,0,0,0,0
4247,International Journal For Parasitology,00207519,3.404,3.637,3.393,3.822,3.819,3.752
4248,International Journal Of Pattern Recognition And Artificial Intelligence,02180014,0.558,0.562,0.624,0.685,0.512,0.66
4249,International Journal of Pavement Engineering,10298436,1.108,0.745,0.402,0,0,0
4250,International Journal of Pediatric Obesity,17477166,3.025,2.276,2.986,2.654,2.186,3.984
4251,International Journal Of Pediatric Otorhinolaryngology,01655876,1.319,1.35,1.167,1.067,1.148,1.118
4252,International Journal of Peptide Research and Therapeutics,15733149,0.825,1.28,0.986,1.034,0.869,1.082
4253,International Journal of Performance Analysis in Sport,14748185,0.845,0.539,0,0,0,0
4254,International Journal Of Periodontics & Restorative Dentistry,01987569,1.007,1.081,1.197,1.345,1.702,1.768
4255,International Journal Of Pest Management,09670874,0.75,0.718,0.488,0.541,0.602,0.556
4256,International Journal Of Pharmaceutics,03785173,3.785,3.458,3.35,3.607,2.962,3.061
4257,International Journal of Pharmacology,18117775,0.981,1.202,1.503,0,0,0
4258,International Journal Of Photoenergy,1110662X,0,2.663,1.769,1.345,1.494,0.881
4259,Int J Phys Sci,19921950,0,0,0,0.54,0.554,0
4260,International Journal Of Phytoremediation,15226514,1.466,1.179,1.298,1.936,1.321,1.217
4261,International Journal of Plant Production,17356814,1.028,1.145,1.1,0.569,0.635,0.35
4262,International Journal Of Plant Sciences,10585893,1.69,1.54,1.643,2.364,2.358,1.535
4263,International Journal Of Plasticity,07496419,5.971,4.356,4.603,5.082,4.791,3.875
4264,International Journal Of Polymer Analysis And Characterization,1023666X,1.487,1.233,1.412,0.814,0.775,0.824
4265,Int J Polym Mater,00914037,2.784,1.865,1.204,0.458,0,0
4266,International Journal of Polymer Science,16879422,1.322,0.765,0,0,0,0
4267,International Journal Of Powder Metallurgy,08887462,0.315,1.057,0.5,0.302,0.288,0.327
4268,International Journal of Precision Engineering and Manufacturing,22347593,1.5,1.585,1.141,0,0,0
4269,International Journal Of Pressure Vessels And Piping,03080161,1.078,0.932,0.989,1.513,1.256,0.862
4270,International Journal Of Primatology,01640291,1.994,1.786,1.538,1.793,1.656,1.788
4271,International Journal Of Production Economics,09255273,0,2.081,1.76,1.988,2.068,2.026
4272,International Journal Of Production Research,00207543,1.323,1.46,1.115,1.033,0.803,0.774
4273,International Journal Of Prosthodontics,08932174,1.185,1.625,1.376,1.423,1.227,1.374
4274,International Journal Of Psychiatry In Clinical Practice,13651501,1.313,0.448,0.427,0.327,0.5,0.41
4275,International Journal Of Psychiatry In Medicine,00912174,0.805,1.154,1.029,1.055,0.909,0.882
4276,International Journal Of Psychophysiology,01678760,2.648,2.036,2.144,2.378,3.045,2.264
4277,International Journal Of Public Health,16618556,1.966,1.993,2.539,2.241,1.333,0.63
4278,International Journal For Quality In Health Care,13534505,1.584,1.793,1.958,2.064,1.881,1.561
4279,International Journal Of Quantum Chemistry,00207608,1.166,1.306,1.357,1.302,1.315,1.317
4280,International Journal Of Quantum Information,02197499,0.992,0.918,0.67,0.864,0.632,0.774
4281,International Journal Of Radiation Biology,09553002,1.837,1.895,2.275,1.861,1.842,2.178
4282,International Journal Of Radiation Oncology Biology Physics,03603016,4.176,4.524,4.105,4.503,4.592,4.639
4283,International Journal Of Refractory Metals & Hard Materials,02634368,1.764,1.858,1.693,1.41,1.75,1.221
4284,International Journal Of Refrigeration-Revue Internationale Du Froid,01407007,1.702,1.793,1.817,1.439,1.537,1.458
4285,International Journal Of Rehabilitation Research,03425282,1.144,1.055,1.083,0,0,0
4286,International Journal Of Remote Sensing,01431161,1.359,1.138,1.117,1.182,1.089,1.041
4287,International Journal Of Rf And Microwave Computer-Aided Engineering,10964290,0.845,0.752,0.591,0.475,0.405,0.462
4288,International Journal of Rheumatic Diseases,17561841,1.771,1.65,0.807,0.205,0,0
4289,International Journal Of Robotics & Automation,08268185,0.658,0.494,0.288,0.206,0.339,0.409
4290,International Journal Of Robotics Research,02783649,2.503,2.863,3.107,4.095,1.993,2.882
4291,International Journal Of Robust And Nonlinear Control,10498923,2.652,1.9,1.554,1.495,1.906,1.56
4292,International Journal Of Rock Mechanics And Mining Sciences,13651609,1.424,1.2,1.272,1.39,1.142,1.031
4293,International Journal Of Satellite Communications And Networking,15420973,0.896,0.535,1.645,0.5,0.368,0.607
4294,International Journal of Sediment Research,10016279,0.977,0.718,1.082,1.708,0.908,0
4295,International Journal on Semantic Web and Information Systems,15526283,0.393,0.25,2.308,1.679,2.345,1.893
4296,International Journal of Sensor Networks,17481279,0,0,1.386,0,0,0
4297,International Journal of Shoulder Surgery,09736042,0.513,0,0,0,0,0
4298,International Journal of Simulation Modelling,17264529,2.125,1.656,0,0,0,0
4299,International Journal Of Software Engineering And Knowledge Engineering,02181940,0.264,0.295,0.129,0.248,0.327,0.447
4300,International Journal Of Solids And Structures,00207683,2.035,1.871,1.857,1.677,1.809,1.809
4301,International Journal of Speech-Language Pathology,17549507,1.412,1.176,0,0,0,0
4302,International Journal Of Speleology,03926672,1.275,1.344,2,2.057,0.9,0
4303,International Journal Of Sport Nutrition And Exercise Metabolism,1526484X,1.982,1.861,2.01,2.23,1.229,1.438
4304,International Journal of Sports Physiology and Performance,15550265,2.683,2.247,1.796,0,0,0
4305,International Journal Of Sport Psychology,00470767,0.453,0.867,1.034,0.961,0.959,0.627
4306,International Journal Of Sports Medicine,01724622,2.374,2.268,2.433,2.381,1.589,1.626
4307,International Journal of Spray and Combustion Dynamics,17568277,0.515,0.636,0,0,0,0
4308,International Journal Of Std & Aids,09564624,1.037,1,1.086,1.082,1.05,1.075
4309,International Journal of Steel Structures,15982351,0.471,0.297,0.426,0.362,0.271,0
4310,International Journal of Stroke,17474930,4.029,2.748,2.382,3.125,2.871,2
4311,International Journal Of Structural Stability And Dynamics,02194554,1.059,0.675,0.45,0.644,0.721,0.537
4312,International Journal of Surface Science and Engineering,1749785X,0.448,0.435,0.414,0.414,0,0
4313,International Journal Of Surgical Pathology,10668969,0.961,0.756,1,1.134,0.912,0.879
4314,International Journal of Surgery,17439191,1.65,1.436,1.293,0,0,0
4315,International Journal Of Sustainable Development And World Ecology,13504509,1.771,1.213,0.965,0.518,0.525,0.51
4316,International Journal Of Systematic And Evolutionary Microbiology,14665026,2.798,2.112,2.268,1.93,2.113,1.463
4317,International Journal Of Systems Science,00207721,1.579,1.305,0.991,0.948,0.918,0.634
4318,International Journal Of Technology Assessment In Health Care,02664623,1.556,1.551,1.365,1.317,1.794,1.439
4319,International Journal Of Technology And Design Education,09577572,0.733,0.339,0.412,0.283,0.286,0.429
4320,International Journal Of Technology Management,02675730,0.492,0.564,0.516,0.519,0.419,0.526
4321,International Journal Of Theoretical Physics,00207748,1.188,1.086,0.845,0.67,0.688,0.675
4322,International Journal Of Thermal Sciences,12900729,2.563,2.47,2.142,1.667,1.77,1.683
4323,International Journal Of Thermophysics,0195928X,0.623,0.568,0.953,0.75,0.702,0.889
4324,International Journal Of Toxicology,10915818,1.233,1.346,1.282,1.762,1.243,1.267
4325,International Journal Of Tuberculosis And Lung Disease,10273719,2.756,2.61,2.731,2.557,2.548,2.304
4326,International Journal Of Turbo & Jet-Engines,03340082,0.218,0.261,0.025,0.082,0.061,0.295
4327,International Journal Of Uncertainty Fuzziness And Knowledge-Based Systems,02184885,0.619,0.886,1.781,0.85,1.147,1
4328,International Journal of Unconventional Computing,15487199,0.433,0.431,0.648,0.367,0.684,0
4329,Int J Urol Nurs,17497701,0,0.186,0.07,0.111,0.424,0
4330,International Journal Of Urology,09198172,1.798,1.734,1.747,1.46,1.158,0.982
4331,International Journal Of Vehicle Design,01433369,0.239,0.509,0.457,0.358,0.48,0.389
4332,International Journal of Ventilation,14733315,0.303,0.224,0.185,0.379,0,0
4333,International Journal For Vitamin And Nutrition Research,03009831,1,1.271,0.877,0.74,0.897,0.971
4334,International Journal Of Water Resources Development,07900627,0.895,0.882,0.795,0.871,0.881,0.738
4335,International Journal Of Wavelets Multiresolution And Information Processing,02196913,0.694,0,0,1.306,1.168,0.5
4336,International Journal of Web and Grid Services,17411106,1.579,1.615,1.919,0.978,0,0
4337,International Journal Of Web Services Research,15457362,0.469,0.182,0.371,0.389,1.053,1.2
4338,International Journal Of Wildland Fire,10498001,2.506,2.322,2.231,2.215,1.901,1.432
4339,International Materials Reviews,09506608,6.552,7.48,6.962,5.759,4.857,3.462
4340,International Mathematics Research Notices,10737928,1.067,1.116,1.014,0.631,0.68,0.684
4341,International Mathematics Research Papers,16873017,0,0,0,0.2,0.647,0.963
4342,Int Med J,13412051,0,0.087,0.2,0.163,0.115,0
4343,International Microbiology,11396709,1.341,2.556,0,1.635,1.8,2.197
4344,International Nursing Review,00208132,0.736,0.939,1.038,0.588,0.693,0.644
4345,International Orthopaedics,03412695,2.019,2.319,2.025,1.561,1.825,1.235
4346,International Polymer Processing,0930777X,0.682,0.573,0.345,0.404,0.637,0.521
4347,International Psychogeriatrics,10416102,1.892,2.188,2.24,2.478,2.506,2.098
4348,International Review of Cell and Molecular Biology,19376448,4.522,4.973,4.481,4.954,0,0
4349,International Review Of Cytology-A Survey Of Cell Biology,00747696,0,,,9,6.088,4.935
4350,Int Rev Electr Eng-I,18276660,0,0,0,1.364,0.57,0
4351,International Review Of Hydrobiology,14342944,1.013,0.87,1.19,1.48,1.082,0.874
4352,International Reviews Of Immunology,08830185,5.28,5.733,3.426,3.239,2.641,4.935
4353,International Review Of Neurobiology,00747742,2.457,1.648,2.352,0,4.017,2.476
4354,International Reviews In Physical Chemistry,0144235X,4.92,4.92,5.967,6.528,5,6.892
4355,International Sportmed Journal,15283356,0,0,0.73,0.25,0.171,0.103
4356,International Statistical Review,03067734,1.19,0.718,0.54,0.86,0.844,0.34
4357,International Sugar Journal,00208841,0.198,0.242,0.138,0.207,0.256,0.353
4358,International Surgery,00208868,0.248,0.305,0.361,0.167,0.297,0.333
4359,International Transactions on Electrical Energy Systems,20507038,0,0,0,0,0,0
4360,International Transactions in Operational Research,09696016,0.481,0.588,0.648,0,0,0
4361,International Urogynecology Journal,09373462,2.161,2.169,1.832,2.368,2.412,2.375
4362,International Urology And Nephrology,03011623,1.293,1.325,1.471,1.567,1.053,0.912
4363,International Wound Journal,17424801,2.023,1.6,1.458,1.427,0,0
4364,Integrative Biology,17579694,3.996,4.321,4.509,4.439,,0
4365,Integrative Cancer Therapies,15347354,2.014,2.354,2.136,1.716,1.508,2.264
4366,Integrative And Comparative Biology,15407063,2.969,3.023,2.447,2.626,1.979,2.74
4367,Integrated Computer-Aided Engineering,10692509,4.667,3.37,3.451,1.551,2.042,0.617
4368,Integral Equations And Operator Theory,0378620X,0.583,0.713,0.626,0.521,0.477,0.46
4369,Integrated Ferroelectrics,10584587,0.371,0.375,0.3,0.264,0.329,0.242
4370,Integrative Psychological And Behavioral Science,19324502,0,0,0,0,1.114,0.312
4371,International Journal of Scientific And Engineering Research-IJSER,22295518,3.2,1.4,1.1,0.8,0,0
4372,Integrative Zoology,17494877,1.419,1.288,1.208,1,0,0
4373,Integration-The Vlsi Journal,01679260,0.529,0.414,0.646,0.663,0.659,0.463
4374,Intelligent Automation And Soft Computing,10798587,0.189,0,0.116,0.187,0.349,0.224
4375,Intelligent Data Analysis,1088467X,0.5,0.472,0.448,0.4,0.929,0.426
4376,Intensive Care Medicine,03424642,5.544,5.258,5.399,4.996,5.168,5.055
4377,Interactive Cardiovascular and Thoracic Surgery,15699293,1.109,1.112,0,0,0,0
4378,Interacting With Computers,09535438,0.731,1.158,1.233,1.192,1.698,1.103
4379,Interciencia,03781844,0.248,0.28,0.308,0.391,0.351,0.341
4380,Interdisciplinary Sciences-Computational Life Sciences,19132751,0.672,0,0,0,0,0
4381,Interdisciplinary Science Reviews,03080188,0.375,0.353,0.275,0.36,0.309,0.278
4382,Interface Focus,20428898,3.124,2.206,,0,0,0
4383,Interfaces And Free Boundaries,14639963,0.574,0.708,0.795,0.574,0.938,0.955
4384,Interfaces,00922102,0.443,0.845,0.843,0.826,0.838,0.593
4385,Intermetallics,09669795,2.119,1.857,1.649,2.327,2.231,2.034
4386,Internal and Emergency Medicine,18280447,2.41,2.345,2.057,2.139,2.371,0
4387,Internal Medicine Journal,14440903,1.699,1.823,1.541,1.626,1.786,2.027
4388,Internal Medicine,09182918,0.967,0.973,0.936,1.037,1.04,1.002
4389,Internet Research,10662243,1.638,1.5,1.115,1.15,0.844,0.8
4390,Internist,00209554,0.271,0.329,0.3,0.348,0.34,0.464
4391,Interventional Neuroradiology,15910199,0.73,0.773,0.565,0,0,0
4392,Intervirology,03005526,1.773,1.889,2.337,1.756,1.106,1.418
4393,Invasive Plant Science and Management,19397291,0.838,0.982,0,0,0,0
4394,Inventiones Mathematicae,00209910,2.123,2.259,2.339,2.443,2.794,2.287
4395,Inverse Problems and Imaging,19308337,1.388,1.138,1.074,1.403,1.831,1.119
4396,Inverse Problems In Science And Engineering,17415977,0.8,0.754,0.622,0.791,0.692,0.416
4397,Inverse Problems,02665611,1.802,1.896,1.88,2.124,1.9,1.912
4398,Invertebrate Biology,10778306,1.061,1.113,1.306,1.542,1.324,1.217
4399,Invertebrate Neuroscience,13542516,1.192,1.13,1.32,0,0,0
4400,Invertebrate Reproduction & Development,07924259,0.667,0.52,0.478,0.509,0.268,0.673
4401,Invertebrate Systematics,14455226,1.594,1.983,1.351,2.492,1.606,1.232
4402,Invest Agrar-Sist R,11317965,0,0,0.667,0.561,0.558,0
4403,Investigacion Clinica,05355133,0.492,0.394,0.345,0.432,0,0
4404,Investigational New Drugs,01676997,2.927,3.498,3.357,3.007,3.072,3.396
4405,Investigative Ophthalmology & Visual Science,01460404,3.661,3.441,3.597,3.466,3.431,3.582
4406,Investigative Radiology,00209996,4.453,5.46,4.593,4.665,4.85,5.289
4407,Ionics,09477047,1.836,1.674,1.288,1.052,0.899,0.773
4408,Ippologia,11205776,0,0.135,0.05,0.176,0.054,0.114
4409,Iranian Journal of Allergy Asthma and Immunology,17351502,1.013,0.653,0.508,0.742,0.968,0
4410,Iranian Journal of Arthropod-Borne Diseases,17357179,0.875,1.027,0.526,0.647,0.353,0
